[27-Jun-2019 14:46:06 Asia/Shanghai] PHP Notice:  Undefined index: start in I:\0web\sunlight\php\dosql\mysql.php on line 253
[27-Jun-2019 14:46:07 Asia/Shanghai] PHP Notice:  Undefined index: start in I:\0web\sunlight\php\dosql\mysql.php on line 253
[27-Jun-2019 14:46:07 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:46:07 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:48:02 Asia/Shanghai] PHP Notice:  Undefined index: start in I:\0web\sunlight\php\dosql\mysql.php on line 253
[27-Jun-2019 14:48:03 Asia/Shanghai] PHP Notice:  Undefined index: start in I:\0web\sunlight\php\dosql\mysql.php on line 253
[27-Jun-2019 14:48:03 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:48:03 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:50:04 Asia/Shanghai] PHP Notice:  Undefined index: table in I:\0web\sunlight\php\dosql\mysql.php on line 80
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:01 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:02 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:02 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:02 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:02 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:02 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:02 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:54:02 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:54:02 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:57:59 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:57:59 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 138
[27-Jun-2019 14:58:00 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in I:\0web\sunlight\php\dosql\mysql.php on line 143
